其它频道,#genre#
CCTV-10 科教,http://123.14.86.119:8888/hls/10/index.m3u8
CCTV-11 戏曲,http://123.14.86.119:8888/hls/11/index.m3u8
CCTV-12 社会与法,http://123.14.86.119:8888/hls/12/index.m3u8
CCTV-13 新闻,http://123.14.86.119:8888/hls/13/index.m3u8
CCTV-14 少儿,http://123.14.86.119:8888/hls/14/index.m3u8
CCTV-15 音乐,http://123.14.86.119:8888/hls/15/index.m3u8
湖南卫视,http://61.52.81.117:8888/hls/28/index.m3u8
江苏卫视,http://61.52.81.117:8888/hls/29/index.m3u8
浙江卫视,http://61.52.81.117:8888/hls/30/index.m3u8
北京卫视,http://61.52.81.117:8888/hls/31/index.m3u8
天津卫视,http://61.52.81.117:8888/hls/32/index.m3u8
山东卫视,http://61.52.81.117:8888/hls/33/index.m3u8
CCTV-5 体育,http://119.123.176.57:8086/hls/252/index.m3u8
CCTV-1 综合,http://61.52.81.117:8888/hls/1/index.m3u8
CCTV-2 财经,http://61.52.81.117:8888/hls/2/index.m3u8
CCTV-3 综艺,http://61.52.81.117:8888/hls/3/index.m3u8
CCTV-4 中文国际,http://61.52.81.117:8888/hls/4/index.m3u8
CCTV-5 体育,http://61.52.81.117:8888/hls/5/index.m3u8
CCTV-6 电影,http://61.52.81.117:8888/hls/6/index.m3u8
CCTV-7 国防军事,http://61.52.81.117:8888/hls/7/index.m3u8
CCTV-8 电视剧,http://61.52.81.117:8888/hls/8/index.m3u8
CCTV-9 纪录,http://61.52.81.117:8888/hls/9/index.m3u8
CCTV-10 科教,http://61.52.81.117:8888/hls/10/index.m3u8
CCTV-11 戏曲,http://61.52.81.117:8888/hls/11/index.m3u8
CCTV-12 社会与法,http://61.52.81.117:8888/hls/12/index.m3u8
CCTV-13 新闻,http://61.52.81.117:8888/hls/13/index.m3u8
CCTV-14 少儿,http://61.52.81.117:8888/hls/14/index.m3u8
CCTV-15 音乐,http://61.52.81.117:8888/hls/15/index.m3u8
浙江卫视,http://119.123.176.57:8086/hls/128/index.m3u8
东方卫视,http://119.123.176.57:8086/hls/129/index.m3u8
北京卫视,http://119.123.176.57:8086/hls/131/index.m3u8
江西卫视,http://119.123.176.57:8086/hls/132/index.m3u8
山东卫视,http://119.123.176.57:8086/hls/133/index.m3u8
安徽卫视,http://119.123.176.57:8086/hls/137/index.m3u8
天津卫视,http://119.123.176.57:8086/hls/140/index.m3u8
贵州卫视,http://119.123.176.57:8086/hls/143/index.m3u8
河北卫视,http://119.123.176.57:8086/hls/144/index.m3u8
山西卫视,http://119.123.176.57:8086/hls/145/index.m3u8
陕西卫视,http://119.123.176.57:8086/hls/146/index.m3u8
内蒙古卫视,http://119.123.176.57:8086/hls/147/index.m3u8
吉林卫视,http://119.123.176.57:8086/hls/150/index.m3u8
西藏卫视,http://119.123.176.57:8086/hls/152/index.m3u8
新疆卫视,http://119.123.176.57:8086/hls/153/index.m3u8
云南卫视,http://119.123.176.57:8086/hls/154/index.m3u8
宁夏卫视,http://119.123.176.57:8086/hls/155/index.m3u8
甘肃卫视,http://119.123.176.57:8086/hls/157/index.m3u8
东南卫视,http://119.123.176.57:8086/hls/161/index.m3u8
黑龙江卫视,http://119.123.176.57:8086/hls/248/index.m3u8
辽宁卫视,http://119.123.176.57:8086/hls/251/index.m3u8
卫视频道,#genre#
广东卫视,http://119.123.176.57:8086/hls/44/index.m3u8
